Number,IsEvenOrOdd
55,Odd
58,Even
0,Even
9,Odd
99,Odd
50,Even
71,Odd
2,Even
68,Even
33,Odd
24,Even
13,Odd
91,Odd
76,Even
66,Even
23,Odd
32,Even
76,Even
32,Even
54,Even
6,Even
19,Odd
60,Even
78,Even
2,Even
18,Even
35,Odd
16,Even
20,Even
51,Odd
5,Odd
84,Even
18,Even
79,Odd
86,Even
55,Odd
97,Odd
17,Odd
0,Even
47,Odd
56,Even
94,Even
26,Even
91,Odd
34,Even
79,Odd
73,Odd
51,Odd
6,Even
78,Even
36,Even
74,Even
22,Even
45,Odd
32,Even
36,Even
95,Odd
4,Even
97,Odd
20,Even
82,Even
55,Odd
38,Even
84,Even
64,Even
83,Odd
23,Odd
36,Even
88,Even
53,Odd
66,Even
81,Odd
43,Odd
29,Odd
34,Even
25,Odd
69,Odd
81,Odd
87,Odd
44,Even
49,Odd
88,Even
62,Even
82,Even
0,Even
20,Even
81,Odd
19,Odd
36,Even
30,Even
47,Odd
79,Odd
56,Even
49,Odd
59,Odd
39,Odd
37,Odd
20,Even
39,Odd
18,Even
81,Odd
6,Even
1,Odd
68,Even
34,Even
40,Even
64,Even
22,Even
56,Even
74,Even
26,Even
61,Odd
77,Odd
13,Odd
5,Odd
33,Odd
90,Even
87,Odd
6,Even
47,Odd
80,Even
14,Even
57,Odd
49,Odd
1,Odd
85,Odd
74,Even
20,Even
22,Even
81,Odd
38,Even
30,Even
11,Odd
25,Odd
6,Even
3,Odd
35,Odd
41,Odd
68,Even
92,Even
5,Odd
69,Odd
37,Odd
14,Even
24,Even
44,Even
42,Even
33,Odd
95,Odd
29,Odd
83,Odd
45,Odd
17,Odd
25,Odd
56,Even
50,Even
93,Odd
32,Even
31,Odd
86,Even
43,Odd
6,Even
13,Odd
45,Odd
63,Odd
84,Even
86,Even
38,Even
46,Even
46,Even
92,Even
33,Odd
75,Odd
64,Even
76,Even
77,Odd
53,Odd
96,Even
83,Odd
94,Even
62,Even
93,Odd
8,Even
21,Odd
92,Even
43,Odd
17,Odd
90,Even
13,Odd
41,Odd
78,Even
76,Even
96,Even
32,Even
50,Even
3,Odd
20,Even
63,Odd
28,Even
81,Odd
31,Odd
55,Odd
11,Odd
38,Even
22,Even
79,Odd
6,Even
99,Odd
63,Odd
68,Even
54,Even
48,Even
69,Odd
50,Even
9,Odd
54,Even
41,Odd
71,Odd
32,Even
21,Odd
16,Even
33,Odd
75,Odd
13,Odd
22,Even
28,Even
2,Even
86,Even
38,Even
15,Odd
28,Even
8,Even
44,Even
89,Odd
37,Odd
51,Odd
70,Even
14,Even
80,Even
51,Odd
86,Even
80,Even
46,Even
48,Even
59,Odd
66,Even
59,Odd
96,Even
50,Even
37,Odd
36,Even
62,Even
72,Even
93,Odd
47,Odd
19,Odd
28,Even
69,Odd
2,Even
69,Odd
97,Odd
76,Even
9,Odd
5,Odd
54,Even
3,Odd
62,Even
48,Even
81,Odd
37,Odd
23,Odd
21,Odd
76,Even
19,Odd
91,Odd
9,Odd
93,Odd
74,Even
9,Odd
13,Odd
39,Odd
56,Even
49,Odd
37,Odd
49,Odd
44,Even
4,Even
66,Even
89,Odd
76,Even
8,Even
76,Even
12,Even
36,Even
60,Even
98,Even
16,Even
14,Even
30,Even
18,Even
40,Even
71,Odd
60,Even
96,Even
37,Odd
43,Odd
14,Even
29,Odd
54,Even
35,Odd
11,Odd
10,Even
63,Odd
63,Odd
80,Even
92,Even
50,Even
55,Odd
20,Even
6,Even
73,Odd
85,Odd
67,Odd
57,Odd
47,Odd
94,Even
98,Even
63,Odd
86,Even
60,Even
19,Odd
67,Odd
64,Even
99,Odd
69,Odd
3,Odd
72,Even
42,Even
2,Even
41,Odd
63,Odd
57,Odd
52,Even
71,Odd
5,Odd
94,Even
11,Odd
88,Even
95,Odd
94,Even
40,Even
88,Even
66,Even
25,Odd
56,Even
85,Odd
34,Even
16,Even
9,Odd
91,Odd
76,Even
71,Odd
65,Odd
47,Odd
75,Odd
92,Even
76,Even
6,Even
35,Odd
27,Odd
25,Odd
31,Odd
13,Odd
21,Odd
0,Even
15,Odd
29,Odd
75,Odd
24,Even
66,Even
22,Even
94,Even
45,Odd
21,Odd
64,Even
91,Odd
45,Odd
62,Even
57,Odd
60,Even
85,Odd
56,Even
92,Even
11,Odd
67,Odd
52,Even
73,Odd
55,Odd
0,Even
21,Odd
18,Even
82,Even
71,Odd
6,Even
11,Odd
14,Even
31,Odd
32,Even
13,Odd
22,Even
22,Even
46,Even
45,Odd
89,Odd
88,Even
0,Even
97,Odd
54,Even
89,Odd
83,Odd
26,Even
7,Odd
71,Odd
31,Odd
49,Odd
88,Even
8,Even
46,Even
13,Odd
95,Odd
3,Odd
85,Odd
86,Even
98,Even
8,Even
76,Even
44,Even
50,Even
84,Even
89,Odd
84,Even
83,Odd
52,Even
13,Odd
8,Even
67,Odd
54,Even
36,Even
41,Odd
78,Even
2,Even
37,Odd
46,Even
62,Even
62,Even
53,Odd
61,Odd
21,Odd
24,Even
62,Even
55,Odd
79,Odd
13,Odd
51,Odd
22,Even
37,Odd
9,Odd
69,Odd
49,Odd
80,Even
49,Odd
83,Odd
72,Even
73,Odd
60,Even
51,Odd
37,Odd
42,Even
72,Even
73,Odd
52,Even
18,Even
60,Even
64,Even
30,Even
54,Even
62,Even
26,Even
62,Even
81,Odd
70,Even
76,Even
56,Even
72,Even
30,Even
35,Odd
23,Odd
65,Odd
76,Even
26,Even
38,Even
15,Odd
38,Even
99,Odd
94,Even
76,Even
84,Even
51,Odd
36,Even
0,Even
82,Even
47,Odd
78,Even
79,Odd
22,Even
20,Even
49,Odd
2,Even
7,Odd
73,Odd
36,Even
8,Even
74,Even
54,Even
8,Even
4,Even
36,Even
52,Even
75,Odd
43,Odd
31,Odd
73,Odd
33,Odd
55,Odd
3,Odd
50,Even
90,Even
33,Odd
69,Odd
79,Odd
29,Odd
73,Odd
20,Even
79,Odd
46,Even
65,Odd
16,Even
16,Even
61,Odd
79,Odd
24,Even
63,Odd
0,Even
80,Even
86,Even
1,Odd
45,Odd
38,Even
47,Odd
13,Odd
32,Even
53,Odd
4,Even
46,Even
8,Even
62,Even
60,Even
49,Odd
40,Even
82,Even
49,Odd
67,Odd
39,Odd
6,Even
10,Even
52,Even
41,Odd
37,Odd
38,Even
81,Odd
51,Odd
50,Even
9,Odd
13,Odd
99,Odd
89,Odd
65,Odd
25,Odd
7,Odd
63,Odd
35,Odd
67,Odd
10,Even
27,Odd
96,Even
48,Even
57,Odd
90,Even
22,Even
23,Odd
72,Even
14,Even
37,Odd
4,Even
45,Odd
23,Odd
17,Odd
89,Odd
24,Even
1,Odd
94,Even
87,Odd
87,Odd
4,Even
23,Odd
56,Even
76,Even
92,Even
71,Odd
16,Even
1,Odd
7,Odd
38,Even
35,Odd
29,Odd
47,Odd
15,Odd
31,Odd
58,Even
8,Even
35,Odd
62,Even
57,Odd
13,Odd
3,Odd
78,Even
40,Even
15,Odd
0,Even
64,Even
11,Odd
43,Odd
53,Odd
51,Odd
0,Even
23,Odd
25,Odd
47,Odd
15,Odd
10,Even
40,Even
5,Odd
41,Odd
64,Even
40,Even
60,Even
57,Odd
0,Even
78,Even
53,Odd
26,Even
13,Odd
6,Even
23,Odd
7,Odd
64,Even
42,Even
28,Even
2,Even
23,Odd
24,Even
5,Odd
49,Odd
44,Even
27,Odd
81,Odd
17,Odd
12,Even
12,Even
22,Even
54,Even
10,Even
35,Odd
91,Odd
23,Odd
2,Even
31,Odd
39,Odd
88,Even
8,Even
15,Odd
89,Odd
28,Even
15,Odd
86,Even
41,Odd
25,Odd
13,Odd
49,Odd
20,Even
70,Even
3,Odd
17,Odd
73,Odd
64,Even
68,Even
80,Even
22,Even
26,Even
93,Odd
44,Even
12,Even
18,Even
12,Even
73,Odd
46,Even
61,Odd
97,Odd
50,Even
6,Even
6,Even
38,Even
21,Odd
85,Odd
20,Even
83,Odd
48,Even
3,Odd
31,Odd
65,Odd
58,Even
20,Even
25,Odd
24,Even
58,Even
2,Even
85,Odd
76,Even
71,Odd
26,Even
86,Even
40,Even
90,Even
53,Odd
60,Even
1,Odd
44,Even
61,Odd
61,Odd
68,Even
88,Even
51,Odd
20,Even
18,Even
39,Odd
65,Odd
95,Odd
1,Odd
15,Odd
84,Even
90,Even
24,Even
36,Even
98,Even
39,Odd
47,Odd
22,Even
54,Even
76,Even
43,Odd
81,Odd
6,Even
47,Odd
75,Odd
2,Even
74,Even
48,Even
8,Even
81,Odd
58,Even
19,Odd
29,Odd
5,Odd
18,Even
89,Odd
79,Odd
38,Even
59,Odd
88,Even
43,Odd
71,Odd
33,Odd
25,Odd
40,Even
89,Odd
25,Odd
51,Odd
99,Odd
93,Odd
59,Odd
65,Odd
44,Even
89,Odd
85,Odd
67,Odd
32,Even
78,Even
58,Even
25,Odd
38,Even
20,Even
79,Odd
16,Even
57,Odd
19,Odd
88,Even
76,Even
45,Odd
30,Even
8,Even
6,Even
19,Odd
92,Even
90,Even
15,Odd
71,Odd
6,Even
80,Even
7,Odd
11,Odd
83,Odd
0,Even
36,Even
26,Even
54,Even
72,Even
76,Even
24,Even
95,Odd
9,Odd
23,Odd
56,Even
47,Odd
6,Even
76,Even
94,Even
40,Even
90,Even
39,Odd
41,Odd
64,Even
53,Odd
37,Odd
10,Even
74,Even
20,Even
62,Even
86,Even
49,Odd
59,Odd
52,Even
88,Even
47,Odd
99,Odd
16,Even
4,Even
42,Even
58,Even
85,Odd
2,Even
10,Even
87,Odd
17,Odd
4,Even
58,Even
3,Odd
38,Even
72,Even
21,Odd
76,Even
61,Odd
33,Odd
70,Even
80,Even
28,Even
67,Odd
93,Odd
87,Odd
11,Odd
3,Odd
46,Even
1,Odd
58,Even
38,Even
71,Odd
84,Even
46,Even
23,Odd
82,Even
74,Even
33,Odd
7,Odd
53,Odd
0,Even
1,Odd
90,Even
38,Even
36,Even
96,Even
76,Even
95,Odd
89,Odd
54,Even
55,Odd
73,Odd
92,Even
87,Odd
52,Even
87,Odd
21,Odd
31,Odd
41,Odd
51,Odd
53,Odd
0,Even
87,Odd
79,Odd
22,Even
20,Even
74,Even
88,Even
83,Odd
62,Even
25,Odd
75,Odd
73,Odd
90,Even
71,Odd
82,Even
3,Odd
5,Odd
64,Even
13,Odd
26,Even
38,Even
60,Even
10,Even
32,Even
96,Even
57,Odd
4,Even
6,Even
71,Odd
22,Even
91,Odd
18,Even
16,Even
43,Odd
93,Odd
93,Odd
97,Odd
50,Even
92,Even
8,Even
72,Even
66,Even
51,Odd
2,Even
62,Even
84,Even
40,Even
98,Even
76,Even
42,Even
2,Even
91,Odd
13,Odd
95,Odd
27,Odd
28,Even
31,Odd
58,Even
56,Even
27,Odd
42,Even
93,Odd
15,Odd
51,Odd
77,Odd
46,Even
22,Even
89,Odd
45,Odd
65,Odd
46,Even
35,Odd
5,Odd
14,Even
77,Odd
22,Even
